Count,GSR
412,543
413,544
414,544
415,545
416,542
417,544
418,546
419,548
420,544
421,547
422,546
423,547
424,556
425,558
426,551
427,550
428,551
429,555
430,553
431,557
432,554
433,556
434,555
435,555
436,548
437,547
438,545
439,544
440,551
441,555
442,561
443,560
444,556
445,556
446,548
447,544
448,551
449,553
450,546
451,546
452,542
453,543
454,542
455,543
456,549
457,548
458,541
459,543
460,540
461,539
462,538
463,537
464,537
465,540
466,539
467,544
468,540
469,538
470,536
471,535
472,537
473,540
474,536
475,538
476,538
477,538
478,538
479,534
480,535
481,534
482,533
483,534
484,534
485,535
486,534
487,534
488,532
489,528
490,530
491,533
492,531
493,535
494,536
495,539
496,535
497,534
498,527
499,530
500,530
501,527
502,528
503,526
504,527
505,526
506,528
507,525
508,525
509,525
510,525
511,525
512,528
513,528
514,529
515,528
516,528
517,527
518,528
519,527
520,528
521,527
522,529
523,528
524,528
525,527
526,529
527,532
528,535
529,535
530,536
531,536
532,537
533,535
534,534
535,530
536,532
537,532
538,533
539,536
540,538
541,536
542,536
543,535
544,538
545,539
546,540
547,539
548,541
549,532
550,532
551,527
552,529
553,527
554,527
555,524
556,525
557,524
558,530
559,527
560,528
561,528
562,529
563,528
564,529
565,526
566,529
567,531
568,531
569,529
570,532
571,535
572,537
573,535
574,537
575,534
576,536
577,540
578,533
579,530
580,529
581,526
582,525
583,523
584,523
585,523
586,525
587,527
588,526
589,528
590,525
591,524
592,523
593,526
594,524
595,524
596,523
597,524
598,522
599,525
600,525
601,522
602,521
603,521
604,519
605,522
606,523
607,522
608,518
609,520
610,515
611,521
612,528
613,525
614,521
615,521
616,520
617,522
618,520
619,522
620,520
621,520
622,521
623,526
624,527
625,523
626,524
627,523
628,522
629,521
630,521
631,522
632,521
633,523
634,522
635,520
636,521
637,523
638,522
639,524
640,522
641,522
642,523
643,521
644,523
645,520
646,522
647,520
648,522
649,523
650,524
651,523
652,524
653,522
654,525
655,525
656,524
657,525
658,525
659,525
660,525
661,528
662,528
663,527
664,528
665,527
666,525
667,526
668,527
669,526
670,527
671,527
672,530
673,527
674,527
675,531
676,532
677,532
