X,Y,Z,fid,id,left,top,right,bottom,row_index,col_index,p_id_count
12.3566483773468,45.4306485759629,0,55,55,1375485.80527777,5689625.00739122,1375585.80527777,5689525.00739122,6,6,113
12.3566483773468,45.4301687989357,0,56,56,1375485.80527777,5689525.00739122,1375585.80527777,5689425.00739122,7,6,72
12.3575466926309,45.434430924713,0,57,57,1375585.80527777,5690225.00739122,1375685.80527777,5690125.00739122,0,7,70
12.3575466926309,45.433800550858,0,58,58,1375585.80527777,5690125.00739122,1375685.80527777,5690025.00739122,1,7,145
12.3575466926309,45.4331701699617,0,59,59,1375585.80527777,5690025.00739122,1375685.80527777,5689925.00739122,2,7,49
12.3575466926309,45.432539782024,0,60,60,1375585.80527777,5689925.00739122,1375685.80527777,5689825.00739122,3,7,119
12.3575466926309,45.431909387045,0,61,61,1375585.80527777,5689825.00739122,1375685.80527777,5689725.00739122,4,7,17
12.3575466926309,45.4312789850246,0,62,62,1375585.80527777,5689725.00739122,1375685.80527777,5689625.00739122,5,7,61
12.3575466926309,45.4306485759629,0,63,63,1375585.80527777,5689625.00739122,1375685.80527777,5689525.00739122,6,7,123
12.3575466926309,45.4301687989357,0,64,64,1375585.80527777,5689525.00739122,1375685.80527777,5689425.00739122,7,7,28
12.358445007915,45.434430924713,0,65,65,1375685.80527777,5690225.00739122,1375785.80527777,5690125.00739122,0,8,167
12.358445007915,45.433800550858,0,66,66,1375685.80527777,5690125.00739122,1375785.80527777,5690025.00739122,1,8,127
12.358445007915,45.4331701699617,0,67,67,1375685.80527777,5690025.00739122,1375785.80527777,5689925.00739122,2,8,104
12.358445007915,45.432539782024,0,68,68,1375685.80527777,5689925.00739122,1375785.80527777,5689825.00739122,3,8,128
12.358445007915,45.431909387045,0,69,69,1375685.80527777,5689825.00739122,1375785.80527777,5689725.00739122,4,8,9
12.358445007915,45.4312789850246,0,70,70,1375685.80527777,5689725.00739122,1375785.80527777,5689625.00739122,5,8,32
12.358445007915,45.4306485759629,0,71,71,1375685.80527777,5689625.00739122,1375785.80527777,5689525.00739122,6,8,31
12.358445007915,45.4301687989357,0,72,72,1375685.80527777,5689525.00739122,1375785.80527777,5689425.00739122,7,8,135
12.3590596497767,45.434430924713,0,73,73,1375785.80527777,5690225.00739122,1375885.80527777,5690125.00739122,0,9,75
12.3590596497767,45.433800550858,0,74,74,1375785.80527777,5690125.00739122,1375885.80527777,5690025.00739122,1,9,13
12.3590596497767,45.4331701699617,0,75,75,1375785.80527777,5690025.00739122,1375885.80527777,5689925.00739122,2,9,51
12.3590596497767,45.432539782024,0,76,76,1375785.80527777,5689925.00739122,1375885.80527777,5689825.00739122,3,9,3
12.3590596497767,45.431909387045,0,77,77,1375785.80527777,5689825.00739122,1375885.80527777,5689725.00739122,4,9,5
12.3590596497767,45.4312789850246,0,78,78,1375785.80527777,5689725.00739122,1375885.80527777,5689625.00739122,5,9,4
12.3590596497767,45.4306485759629,0,79,79,1375785.80527777,5689625.00739122,1375885.80527777,5689525.00739122,6,9,14
12.3590596497767,45.4301687989357,0,80,80,1375785.80527777,5689525.00739122,1375885.80527777,5689425.00739122,7,9,33
