,p_id,lat,lon,o_id,p_date,accuracy,Name,ID,NumberViews,NumberFavorites,title,tags,url
63,10819828,51.504735,-0.081667,65672777@N00,2003-09-14 14:41:05,14,Lee McEwan,10819828,116,0,More London Ernst & Young,london morelondon ernstyoung,https://live.staticflickr.com/6/10819828_d6098fc452_m.jpg
64,10819907,51.504735,-0.081667,65672777@N00,2003-09-14 12:30:31,14,Lee McEwan,10819907,195,0,Tower Bridge and City Hall,city bridge london tower hall south bank more morelondon,https://live.staticflickr.com/8/10819907_8685f95953_m.jpg
65,10819913,51.504735,-0.081667,65672777@N00,2005-04-25 08:31:56,14,Lee McEwan,10819913,115,0,City Hall,london mayor cityhall,https://live.staticflickr.com/6/10819913_35eebb67c0_m.jpg
66,10819917,51.504401,-0.079436,65672777@N00,2005-04-25 08:31:58,14,Lee McEwan,10819917,83,0,City Hall,london mayor cityhall,https://live.staticflickr.com/5/10819917_12776451be_m.jpg
67,10898823,51.504401,-0.079436,65672777@N00,2003-03-02 18:07:18,14,Lee McEwan,10898823,34,0,Greenwich Sunday 2nd March,2003 london thames architecture buildings cityhall environment built,https://live.staticflickr.com/8/10898823_c8f8c90f4f_m.jpg
68,10899116,51.500959,-0.083094,65672777@N00,2005-04-25 20:02:06,16,Lee McEwan,10899116,97,0,This is your life,2003 birthday londonbridge jane,https://live.staticflickr.com/6/10899116_d1194c2368_m.jpg
69,10899644,51.500959,-0.083094,65672777@N00,2004-04-20 11:05:23,16,Lee McEwan,10899644,34,0,"Flat 2, 8 Tyers Gate",londonbridge london 2004,https://live.staticflickr.com/6/10899644_bcac579bef_m.jpg
70,10899655,51.500959,-0.083094,65672777@N00,2004-04-20 11:05:05,16,Lee McEwan,10899655,28,0,"Flat 2, 8 Tyers Gate",londonbridge london 2004,https://live.staticflickr.com/5/10899655_27af413d53_m.jpg
71,10899666,51.500959,-0.083094,65672777@N00,2004-04-20 11:05:13,16,Lee McEwan,10899666,31,0,"Flat 2, 8 Tyers Gate 2004",londonbridge london 2004,https://live.staticflickr.com/7/10899666_72bfcefdf6_m.jpg
72,10899673,51.500959,-0.083094,65672777@N00,2004-04-20 11:05:18,16,Lee McEwan,10899673,32,0,"Flat 2, 8 Tyers Gate",londonbridge london,https://live.staticflickr.com/5/10899673_b110f45884_m.jpg
