Count,Date,Time,Lat,Long,Speed,Altitude,GSR,normalised_gsr,time_audio,rms,centroid_hz,bandwidth_hz,flatness
2951,27/5/2018,15:49:58,51.544685,-0.032614,1.39,3.7,506,-0.16817014043153253,21.59268292682927,29.08826545208104,3.088959016837178,6.583418966608191,1.4861886625291033e-09
2952,27/5/2018,15:49:59,51.544685,-0.032622,2.17,3.7,504,-0.2077691282427709,21.6,30.334748238325208,2.997399198927785,6.411544231523693,1.3675853418465723e-09
2953,27/5/2018,15:50:0,51.544685,-0.032625,1.13,3.7,503,-0.2275686221483901,21.607317073170734,30.59669814740384,2.944186455724136,6.43752166123671,1.4167116696141527e-09
2954,27/5/2018,15:50:0,51.544685,-0.032625,1.13,5.8,507,-0.14837064652591334,21.614634146341466,30.85864805648247,2.890973712520487,6.463499090949728,1.4658379973817328e-09
2955,27/5/2018,15:50:1,51.544685,-0.032626,0.85,5.8,507,-0.14837064652591334,21.621951219512198,32.01998671207909,2.7704172239121223,6.3663390360152405,1.4407660258301772e-09
2956,27/5/2018,15:50:2,51.544682,-0.032629,1.3,5.8,510,-0.08897216480905573,21.629268292682926,33.858787020895456,2.599134277726316,6.176426070567236,1.3598044262201493e-09
2957,27/5/2018,15:50:3,51.544678,-0.03263,1.54,5.8,506,-0.16817014043153253,21.63658536585366,35.69758732971272,2.4278513315404266,5.98651310511914,1.278842826610082e-09
2958,27/5/2018,15:50:4,51.544674,-0.032636,1.41,5.8,504,-0.2077691282427709,21.64390243902439,40.80965043786225,2.370485268622644,5.766533983009074,1.120896892685711e-09
2959,27/5/2018,15:50:5,51.544666,-0.032637,3.17,5.8,502,-0.2473681160540093,21.651219512195123,50.89393186532964,2.4861635497095094,5.500883155291804,8.460086474210603e-10
2960,27/5/2018,15:50:6,51.544662,-0.032643,1.7,5.8,501,-0.2671676099596285,21.658536585365855,60.97821329279702,2.601841830796375,5.235232327574534,5.711204021564096e-10
2961,27/5/2018,15:50:6,51.544662,-0.032643,1.7,6.7,501,-0.2671676099596285,21.665853658536587,69.47179792130882,2.693951889087593,5.047309352191534,3.6560135924406685e-10
2962,27/5/2018,15:50:7,51.544655,-0.032647,1.87,6.7,498,-0.3265660916764861,21.67317073170732,72.44150238793122,2.7042185448917087,5.129305409660963,4.0097496222854025e-10
2963,27/5/2018,15:50:8,51.544655,-0.032646,0.35,6.7,500,-0.2869671038652477,21.68048780487805,75.41120685455363,2.7144852006958247,5.211301467130393,4.363485652130136e-10
2964,27/5/2018,15:50:8,51.544655,-0.032646,0.35,6.6,501,-0.2671676099596285,21.68780487804878,77.96787297434963,2.7149649780913374,5.294281263846877,4.807929687740719e-10
2965,27/5/2018,15:50:9,51.544659,-0.032643,1.41,6.6,500,-0.2869671038652477,21.695121951219512,72.70791278961207,2.5302310294587644,5.395878029507682,6.96899541078787e-10
2966,27/5/2018,15:50:10,51.544659,-0.032639,0.78,6.6,505,-0.18796963433715172,21.702439024390245,67.4479526048745,2.345497080826191,5.497474795168488,9.13006113383502e-10
2967,27/5/2018,15:50:11,51.544659,-0.032643,1.04,6.6,507,-0.14837064652591334,21.709756097560977,62.18799242013692,2.160763132193618,5.5990715608292945,1.129112685688217e-09
2968,27/5/2018,15:50:12,51.544659,-0.032647,0.46,6.6,503,-0.2275686221483901,21.71707317073171,65.52547924983911,2.2653074087316085,5.479071516075963,9.741824677144564e-10
2969,27/5/2018,15:50:13,51.544659,-0.032649,0.3,6.6,501,-0.2671676099596285,21.72439024390244,70.07105561691189,2.4105002634615595,5.327933298824866,7.671151835206711e-10
2970,27/5/2018,15:50:14,51.544659,-0.032651,0.43,6.6,499,-0.3067665977708669,21.731707317073173,74.61663198398468,2.5556931181915106,5.176795081573769,5.600478993268859e-10
2971,27/5/2018,15:50:15,51.544659,-0.032652,0.04,6.6,499,-0.3067665977708669,21.739024390243905,80.06483132446837,2.533180123226984,5.1796237901286615,5.159720844921427e-10
2972,27/5/2018,15:50:15,51.544659,-0.032652,0.04,6.4,500,-0.2869671038652477,21.746341463414634,85.89363377559414,2.4399517022792043,5.24737472271771,5.406238137971181e-10
2973,27/5/2018,15:50:16,51.544659,-0.032654,0.13,6.4,498,-0.3265660916764861,21.753658536585366,91.72243622672273,2.34672328133138,5.315125655306793,5.652755431021055e-10
2974,27/5/2018,15:50:16,51.544659,-0.032654,0.13,6.4,503,-0.2275686221483901,21.7609756097561,97.72229144776819,2.295367956273635,5.285913852675441,5.439078384494101e-10
2975,27/5/2018,15:50:17,51.544659,-0.032657,0.17,6.4,499,-0.3067665977708669,21.76829268292683,103.87383037151511,2.281144249904488,5.170718837322969,4.817316853727564e-10
2976,27/5/2018,15:50:18,51.544659,-0.032662,1.46,6.4,497,-0.3463655855821053,21.775609756097563,110.02536929526204,2.266920543535341,5.055523821970496,4.1955553229610287e-10
2977,27/5/2018,15:50:19,51.544659,-0.032676,3.87,6.4,498,-0.3265660916764861,21.782926829268295,117.95431896027017,2.2524516130604764,4.930267528858111,3.5025439559622857e-10
2978,27/5/2018,15:50:20,51.544659,-0.032697,5.41,6.4,496,-0.3661650794877245,21.790243902439027,129.08999186173153,2.237540260460164,4.786859138184847,2.6809868903608756e-10
2979,27/5/2018,15:50:21,51.544659,-0.032717,4.83,6.4,495,-0.38596457339334367,21.79756097560976,140.22566476319292,2.222628907859852,4.643450747511585,1.859429824759465e-10
2980,27/5/2018,15:50:22,51.544659,-0.032738,5.22,6.4,496,-0.3661650794877245,21.804878048780488,151.3287491216877,2.2174432303458054,4.533377861793654,1.2046913830658693e-10
2981,27/5/2018,15:50:22,51.544659,-0.032738,5.22,7.2,496,-0.3661650794877245,21.81219512195122,162.28655633693768,2.255613842015835,4.571912016730339,1.29361715339557e-10
2982,27/5/2018,15:50:23,51.544659,-0.032759,4.94,7.2,492,-0.44536305511020124,21.819512195121952,173.24436355218762,2.2937844536858645,4.610446171667024,1.3825429237252705e-10
2983,27/5/2018,15:50:24,51.544659,-0.03278,5.54,7.2,492,-0.44536305511020124,21.826829268292684,184.12847304053497,2.331355849182938,4.6485587943024,1.4706570329721917e-10
2984,27/5/2018,15:50:25,51.544655,-0.032804,5.67,7.2,493,-0.42556356120458205,21.834146341463416,187.58611927963,2.3085446918680623,4.64419393119147,1.4769806792639167e-10
2985,27/5/2018,15:50:26,51.544655,-0.032827,5.83,7.2,492,-0.44536305511020124,21.84146341463415,191.04376551872502,2.2857335345531866,4.63982906808054,1.4833043255556413e-10
2986,27/5/2018,15:50:26,51.544655,-0.032827,5.83,6.8,495,-0.38596457339334367,21.84878048780488,194.50141175782005,2.2629223772383105,4.63546420496961,1.4896279718473663e-10
2987,27/5/2018,15:50:27,51.544651,-0.032843,4.15,6.8,492,-0.44536305511020124,21.856097560975613,190.09903291812427,2.271152264902264,4.637225284601882,1.457274977958123e-10
2988,27/5/2018,15:50:28,51.544651,-0.032863,5.07,6.8,493,-0.42556356120458205,21.86341463414634,184.1595951347814,2.2854523514939076,4.640184316529132,1.417358614346212e-10
2989,27/5/2018,15:50:29,51.544647,-0.032882,4.96,6.8,494,-0.40576406729896286,21.870731707317074,178.22015735143566,2.299752438085558,4.643143348456384,1.3774422507342816e-10
2990,27/5/2018,15:50:29,51.544647,-0.032882,4.96,6.9,496,-0.3661650794877245,21.878048780487806,168.8959833107336,2.269988372058326,4.6363857230647385,1.5959731977722925e-10
2991,27/5/2018,15:50:30,51.544643,-0.0329,4.48,6.9,494,-0.40576406729896286,21.885365853658538,157.85165944840645,2.2178305540503613,4.624690015328401,1.945849118690546e-10
2992,27/5/2018,15:50:31,51.54464,-0.032912,3.56,6.9,497,-0.3463655855821053,21.89268292682927,146.8073355860793,2.1656727360423966,4.612994307592063,2.2957250396087995e-10
2993,27/5/2018,15:50:32,51.544632,-0.032923,3.35,6.9,499,-0.3067665977708669,21.900000000000002,139.89365509152321,2.129147228398344,4.606107559135138,2.545275178773546e-10
2994,27/5/2018,15:50:33,51.544621,-0.032936,4.82,6.9,498,-0.3265660916764861,21.907317073170734,137.2853318089384,2.1089152310316894,4.604233174533499,2.690256056067545e-10
2995,27/5/2018,15:50:33,51.544621,-0.032936,4.82,7.3,499,-0.3067665977708669,21.914634146341466,134.67700852635357,2.088683233665035,4.602358789931859,2.8352369333615446e-10
2996,27/5/2018,15:50:34,51.544613,-0.032944,4.44,7.3,495,-0.38596457339334367,21.921951219512195,134.87666328651025,2.1035848737442824,4.604546843765875,2.7922392828567234e-10
2997,27/5/2018,15:50:35,51.544598,-0.032954,5.35,7.3,495,-0.38596457339334367,21.929268292682927,141.14729543066557,2.1944470502326703,4.615518075919431,2.3428234290849217e-10
2998,27/5/2018,15:50:35,51.544598,-0.032954,5.35,7.6,496,-0.3661650794877245,21.93658536585366,147.41792757482088,2.2853092267210586,4.626489308072988,1.8934075753131205e-10
2999,27/5/2018,15:50:36,51.54459,-0.032955,4.07,7.6,494,-0.40576406729896286,21.94390243902439,152.70616154627092,2.3552481658343196,4.634984851898263,1.5264919132543704e-10
3000,27/5/2018,15:50:37,51.544579,-0.03296,3.85,7.6,495,-0.38596457339334367,21.951219512195124,152.10000648149614,2.2996476806969612,4.628626265753868,1.6545774014733677e-10
3001,27/5/2018,15:50:38,51.544567,-0.032962,4.28,7.6,495,-0.38596457339334367,21.958536585365856,151.49385141672133,2.2440471955596033,4.622267679609473,1.7826628896923652e-10
3002,27/5/2018,15:50:39,51.544559,-0.032967,4.32,7.6,496,-0.3661650794877245,21.965853658536588,150.88769635194654,2.1884467104222454,4.615909093465078,1.9107483779113626e-10
3003,27/5/2018,15:50:39,51.544559,-0.032967,4.32,7.7,499,-0.3067665977708669,21.973170731707317,150.29376845243502,2.1830474963815583,4.641094075907187,1.9717712318309086e-10
3004,27/5/2018,15:50:40,51.544544,-0.032971,5.56,7.7,495,-0.38596457339334367,21.98048780487805,149.70022569051605,2.179229548013932,4.667272634032197,2.0306817121143927e-10
3005,27/5/2018,15:50:41,51.544533,-0.032968,5.13,7.7,495,-0.38596457339334367,21.98780487804878,149.1066829285971,2.1754115996463055,4.693451192157208,2.0895921923978766e-10
3006,27/5/2018,15:50:42,51.544521,-0.032967,4.78,7.7,495,-0.38596457339334367,21.995121951219513,151.20281867428525,2.2026365156452696,4.678493887676344,1.975489522690475e-10
