Count,Date,Time,Lat,Long,Speed,Altitude,GSR,normalised_gsr,time_audio,rms,centroid_hz,bandwidth_hz,flatness,2D_x,2D_y,3D_x,3D_y,3D_z
2338,27/5/2018,15:42:31,51.546982,-0.029226,5.04,6.7,495,-0.3859645733933436,17.107317073170734,136.53992121830234,2.282514410354686,4.649509287251277,1.7737701095169102e-10,12.173979,14.093675,-3.8925827,1.4996929,1.7707655
2339,27/5/2018,15:42:32,51.546974,-0.029238,4.57,6.7,496,-0.3661650794877245,17.114634146341466,135.80585679666166,2.31060397293791,4.661149768712922,1.8475195136183416e-10,12.5325775,13.563849,-3.7183836,1.8085072,2.4027722
2340,27/5/2018,15:42:33,51.546967,-0.029248,4.17,6.7,496,-0.3661650794877245,17.121951219512198,130.11659988397307,2.285607470458503,4.626199162029009,1.720539606286759e-10,12.296039,13.401637,-3.9538531,1.753322,2.5679355
2341,27/5/2018,15:42:34,51.546951,-0.029257,6.3,6.7,498,-0.3265660916764861,17.129268292682926,124.42734297128725,2.2606109679791078,4.591248555345112,1.5935596989552382e-10,14.201128,10.791374,-2.4631264,3.2505302,5.1338296
2342,27/5/2018,15:42:35,51.546944,-0.029268,4.09,6.7,498,-0.3265660916764861,17.13658536585366,118.70957254781896,2.235387318178379,4.561029752377167,1.4860791200570742e-10,13.641939,10.568747,-2.8357427,2.8645644,5.238705
2343,27/5/2018,15:42:36,51.546936,-0.029278,4.37,6.7,499,-0.3067665977708669,17.14390243902439,112.21426061886076,2.2039695356539597,4.6598435968943015,1.9103302280533409e-10,15.103277,9.646407,-2.3484814,4.203624,6.2374926
2344,27/5/2018,15:42:36,51.546936,-0.029278,4.37,7.8,501,-0.2671676099596285,17.151219512195123,105.71894868990256,2.1725517531295395,4.758657441411437,2.334581336049608e-10,12.6563015,4.908076,-0.8308169,4.2370725,9.504731
2345,27/5/2018,15:42:37,51.546925,-0.029288,4.8,7.8,498,-0.3265660916764861,17.158536585365855,99.22363676094436,2.14113397060512,4.857471285928572,2.7588324440458745e-10,12.399017,10.517657,-4.0166683,2.2017477,5.440404
2346,27/5/2018,15:42:37,51.546925,-0.029288,4.8,8.2,501,-0.2671676099596285,17.165853658536587,95.9194543020025,2.1828562273797583,4.87766567945239,2.7460651362450424e-10,12.400848,4.5521255,-0.6962533,4.6153784,9.947676
2347,27/5/2018,15:42:38,51.546917,-0.029301,4.8,8.2,499,-0.3067665977708669,17.17317073170732,93.12623312087992,2.2362896128601237,4.88527158494448,2.663322764673111e-10,15.608647,7.8821263,-3.3569553,5.050362,7.644893
2348,27/5/2018,15:42:38,51.546917,-0.029301,4.8,8.5,500,-0.2869671038652477,17.180487804878048,90.33301193975868,2.289722998340462,4.892877490436566,2.5805803931012195e-10,13.588237,4.187266,-1.8053597,3.476352,10.022412
2349,27/5/2018,15:42:39,51.546906,-0.029312,4.33,8.5,499,-0.3067665977708669,17.18780487804878,86.79649228620839,2.287629757305744,4.8386701354916415,2.475729709705135e-10,15.408761,7.3539925,-3.668283,5.1631794,8.259664
2350,27/5/2018,15:42:39,51.546906,-0.029312,4.33,8.5,502,-0.2473681160540093,17.195121951219512,82.92381569452375,2.26042458419174,4.756507716551036,2.360880536219525e-10,13.285431,-1.3254542,0.7021092,7.832387,14.485489
2351,27/5/2018,15:42:40,51.546902,-0.029319,2.44,8.5,501,-0.2671676099596285,17.202439024390245,79.05113910283912,2.2332194110777364,4.67434529761043,2.2460313627339157e-10,11.687545,3.502622,-0.88166004,5.5255165,10.920293
2352,27/5/2018,15:42:40,51.546902,-0.029319,2.44,8.8,501,-0.2671676099596285,17.209756097560977,75.42927928668621,2.190957323891475,4.605979397347107,2.2406847017428857e-10,11.623167,3.086613,-1.1773605,5.6826367,11.082328
2353,27/5/2018,15:42:41,51.546898,-0.029332,3.94,8.8,502,-0.2473681160540093,17.21707317073171,72.04344335525437,2.134526362459414,4.550596312634839,2.3383822184425167e-10,12.56461,-1.7000283,0.5539733,8.514376,14.087043
2354,27/5/2018,15:42:41,51.546898,-0.029332,3.94,9.2,502,-0.2473681160540093,17.22439024390244,68.65760742382253,2.0780954010273534,4.495213227922571,2.436079735142148e-10,12.170804,-1.9319483,0.5946863,8.942937,13.797686
2355,27/5/2018,15:42:42,51.54689,-0.029346,4.96,9.2,503,-0.2275686221483901,17.231707317073173,67.2896843225495,2.0576907109382203,4.4852791588991945,2.585027574220226e-10,13.603196,-3.0286222,1.7176186,8.905174,15.157444
2356,27/5/2018,15:42:42,51.54689,-0.029346,4.96,9.7,504,-0.2077691282427709,17.2390243902439,69.80764908616086,2.1066616888840106,4.562866104607897,2.8326679845656003e-10,11.426119,-7.139732,4.223011,11.7685175,14.991218
2357,27/5/2018,15:42:43,51.546879,-0.029358,4.94,9.7,501,-0.2671676099596285,17.246341463414634,72.32561384977343,2.1556326668298245,4.640453050316638,3.0803083949110953e-10,11.661171,2.7596087,-1.4731407,5.7982926,11.196503
2358,27/5/2018,15:42:43,51.546879,-0.029358,4.94,10.4,501,-0.2671676099596285,17.253658536585366,75.39126699944843,2.2065881268345904,4.710143368140916,3.241320190686233e-10,11.638181,3.0782504,-1.2553163,5.7082148,11.112376
2359,27/5/2018,15:42:44,51.546875,-0.029372,4.78,10.4,499,-0.3067665977708669,17.2609756097561,81.16143883110637,2.267343080381808,4.740839655451349,2.9745545997903967e-10,15.242243,7.0900884,-3.7870307,5.1843677,8.567385
